2026-05-08 00:16:27 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:27 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:27 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:27 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:28 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:28 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:28 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:28 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:28 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:28 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:28 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:29 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:29 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:29 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:30 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:30 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:31 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:31 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:31 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:32 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:32 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:32 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:32 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:32 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:33 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:33 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:33 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:34 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:34 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:34 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:34 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:34 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:35 | INFO | app.camera.stream | Camera stream stopped
2026-05-08 00:16:37 | INFO | app.vision.yolo_detector | YOLO detector initialized
2026-05-08 00:16:37 | INFO | app.identity.face_engine | InsightFace engine initialized
2026-05-08 00:16:37 | INFO | app.identity.registry | Known face registry restored from cache
2026-05-08 00:16:37 | INFO | app.camera.stream | Camera stream started
2026-05-08 00:16:39 | INFO | app.camera.stream | Camera source opened
2026-05-08 00:16:39 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:39 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:39 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:39 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:40 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:40 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:40 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:42 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:42 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:43 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:44 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:44 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:45 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:45 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:45 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:45 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:45 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:45 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:46 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:46 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:46 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:46 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:46 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:47 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:47 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:47 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:47 | INFO | app.camera.manager | Motion snapshot saved
2026-05-08 00:16:47 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:48 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:48 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:48 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:48 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:48 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:48 | INFO | app.vision.pipeline | Motion detected
2026-05-08 00:16:49 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:50 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:50 | INFO | app.events.event_engine | Perception event emitted
2026-05-08 00:16:51 | INFO | app.vision.pipeline | Motion detected
